plot,district,area_rai,planting_date,monoculture,cultivar.main,cultivar.other,date_45DAP,date_75DAP,date_120DAP,date_180DAP,date_240DAP,date_300DAP
B01,Ban Bueng,6,7/3/22,no,R13,R89,8/27/22,9/23/22,11/25/22,1/6/22,3/1/23,4/9/23
B02,Ban Bueng,6,6/17/22,yes,KU50,NA,NA,8/27/22,10/28/22,12/23/22,3/2/23,4/9/23
B03,Ban Bueng,6,7/15/22,yes,R9,NA,8/27/22,9/23/22,11/25/22,1/6/22,3/1/23,4/9/23
B04,Ban Bueng,15,6/30/22,no,R9,R89,NA,8/27/22,10/28/22,12/23/22,3/1/23,4/9/23
B05,Ban Bueng,20,6/30/22,no,R72,R89,NA,9/23/22,10/28/22,12/23/22,3/1/23,4/9/23
B06,Ban Bueng,8,6/30/22,no,R72,R89,NA,9/23/22,10/28/22,12/23/22,3/1/23,4/9/23
B07,Ban Bueng,10,6/20/22,no,R9,other,NA,8/27/22,10/28/22,12/22/22,2/8/23,4/10/23
B08,Ban Bueng,8,6/15/22,no,R9,KU50,NA,8/27/22,10/28/22,12/22/22,2/8/23,4/10/23
B09,Ban Bueng,8,7/7/22,yes,KU50,NA,8/28/22,9/23/22,11/25/22,1/6/22,3/1/66,4/10/23
S01,Sri Racha,8,6/19/22,no,R13,R11,NA,8/27/22,10/27/22,12/22/22,2/8/23,4/10/23
S02,Sri Racha,15,7/10/22,no,R11,other,8/28/22,9/24/22,11/25/22,1/6/22,3/1/23,5/10/23
S03,Sri Racha,13,7/6/22,yes,PR2,NA,NA,8/29/22,10/27/22,1/6/22,3/1/23,4/11/23
S04,Sri Racha,13,7/3/22,yes,R9,NA,NA,8/29/22,10/27/22,1/6/22,3/1/23,4/11/23
S05,Sri Racha,10,6/27/22,no,R9,other,NA,8/29/22,10/27/22,12/22/22,3/1/23,4/11/23
S06,Sri Racha,15,7/28/22,yes,PP,NA,8/29/22,9/24/22,11/25/22,1/19/22,3/22/23,5/10/23
S07,Sri Racha,8,7/17/22,yes,R9,NA,NA,9/24/22,11/23/22,1/19/22,3/22/23,5/10/23
S08,Sri Racha,17,7/17/22,yes,R9,NA,NA,9/24/22,11/23/22,1/19/22,3/22/23,5/10/23
S09,Sri Racha,18,7/13/22,no,mix,other,NA,9/25/22,11/23/22,1/6/22,3/22/23,5/11/23
S10,Sri Racha,22,7/20/22,no,mix,other,NA,9/25/22,11/23/22,1/19/22,3/22/23,5/11/23
S11,Sri Racha,29,7/20/22,yes,R9,NA,NA,9/25/22,11/24/22,1/19/22,3/22/23,5/11/23
S12,Sri Racha,10,7/25/22,yes,PR2,NA,NA,9/25/22,11/24/22,1/20/22,3/22/23,5/11/23
S13,Sri Racha,10,7/29/22,no,PR2,R9,NA,9/25/22,11/24/22,1/20/22,3/22/23,5/12/23
S14,Sri Racha,20,7/19/22,no,R9,HB60,NA,9/26/22,11/24/22,1/20/22,3/22/23,5/12/23
S15,Sri Racha,10,7/22/22,no,R9,other,NA,9/26/22,11/24/22,1/20/22,3/22/23,5/12/23
S16,Sri Racha,10,7/23/22,no,mix,other,NA,9/26/22,11/23/22,1/20/22,3/22/23,5/12/23
