plot,day.after.planting,GPS,Rep,HI,fresh.root.weight,air.weight,water.weight,percent.starch,plant.height01,plant.height02,plant.height03,plant.height04,plant.height05,plant.height06,plant.height07,plant.height08,plant.height09,plant.height10,LAI.01,LA.I02,LAI.03,LAI.04,LAI.05,LAI.06,LAI.07,LAI.08,LAI.09,LAI.10,diameter.01,diameter.02,diameter.03,diameter.04,diameter.05,diameter.06,diameter.07,diameter.08,diameter.09,diameter.10
B01,45,"13.276074, 101.135948",1,0,0,NA,NA,NA,70,45,65,70,60,60,50,50,65,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B01,45,"13.276074, 101.135948",2,0,0,NA,NA,NA,60,50,60,50,60,60,60,60,60,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B01,45,"13.276074, 101.135948",3,0,0,NA,NA,NA,60,60,50,65,60,50,60,45,60,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B01,45,"13.276074, 101.135948",4,0,0,NA,NA,NA,60,65,60,45,55,60,55,60,55,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B01,45,"13.276074, 101.135948",5,0,0,NA,NA,NA,60,50,65,60,55,70,45,60,45,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B03,45,"13.224529, 101.261558",1,0,0,NA,NA,NA,45,50,50,45,50,40,45,50,45,40,0.8,0.9,0.8,0.8,0.8,0.7,1,0.9,0.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B03,45,"13.224529, 101.261558",2,0,0,NA,NA,NA,55,40,50,40,40,35,45,40,50,45,0.6,0.5,0.5,1.3,0.7,0.9,0.4,0.8,0.7,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B03,45,"13.224529, 101.261558",3,0,0,NA,NA,NA,50,40,45,60,55,55,60,45,25,45,0.6,0.8,0.5,1.4,0.8,1,0.7,0.5,0.8,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B03,45,"13.224529, 101.261558",4,0,0,NA,NA,NA,50,60,50,50,50,50,45,55,40,45,0.5,0.7,0.3,0.7,0.6,0.4,0.6,0.8,0.7,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B03,45,"13.224529, 101.261558",5,0,0,NA,NA,NA,50,45,50,60,40,35,50,40,50,45,1.2,0.8,0.8,0.7,0.7,1.5,0.4,0.6,0.6,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B09,45,"13.331031, 101.06461",1,0,0,NA,NA,NA,30,30,40,40,30,30,20,30,40,40,0.6,0.4,0.5,0.4,0.4,0.3,0.3,0.4,0.5,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B09,45,"13.331031, 101.06461",2,0,0,NA,NA,NA,30,35,40,30,30,30,30,30,45,40,0.3,0.3,0.6,0.5,0.3,0.2,0.2,0.3,0.4,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B09,45,"13.331031, 101.06461",3,0,0,NA,NA,NA,50,40,35,40,35,40,40,30,45,35,0.4,0.5,0.5,0.4,0.4,0.5,0.3,0.3,0.5,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B09,45,"13.331031, 101.06461",4,0,0,NA,NA,NA,40,35,40,15,40,40,35,45,45,45,0.6,0.4,0.6,0.4,0.4,0.3,0.3,0.4,0.3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B09,45,"13.331031, 101.06461",5,0,0,NA,NA,NA,40,40,35,40,40,10,30,40,40,30,0.5,0.6,0.6,0.4,0.4,0.4,0.3,0.5,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S02,45,"13.08532, 101.10466",1,0.53,3.2,NA,NA,NA,50,50,55,50,50,50,55,40,60,50,0.6,0.7,0.7,0.7,0.9,0.9,0.5,0.8,0.9,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S02,45,"13.08532, 101.10466",2,0.56,3.12,NA,NA,NA,30,40,30,35,40,45,30,35,45,40,0.4,0.4,0.4,0.5,0.4,0.8,0.2,0.4,0.2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S02,45,"13.08532, 101.10466",3,0.52,2.9,NA,NA,NA,50,50,30,45,40,40,45,40,50,50,0.8,1.1,0.9,0.9,1,0.5,0.6,0.9,1.1,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S02,45,"13.08532, 101.10466",4,0.52,3.19,NA,NA,NA,50,50,55,50,55,50,50,50,60,50,0.8,0.6,0.9,0.9,1.1,1,0.9,1,1,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S02,45,"13.08532, 101.10466",5,0.53,3.11,NA,NA,NA,50,40,60,50,50,50,45,40,50,40,0.9,0.9,0.8,0.7,1,0.6,0.9,0.7,0.7,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S06,45,"13.08684, 101.11136",1,0,0,NA,NA,NA,50,55,50,40,45,45,40,45,50,40,1.7,1.8,1.6,1.6,1.7,2,1.8,1.5,2.3,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S06,45,"13.08684, 101.11136",2,0,0,NA,NA,NA,50,50,40,40,45,45,40,50,50,40,1.4,1.5,1.2,1.5,1.4,1,1.4,1.4,1.3,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S06,45,"13.08684, 101.11136",3,0,0,NA,NA,NA,50,50,55,50,40,40,50,40,50,50,1.4,1.5,2.1,1.1,1,1.5,1.2,1.2,1.4,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S06,45,"13.08684, 101.11136",4,0,0,NA,NA,NA,40,30,40,35,40,50,50,50,40,55,1.7,1,1,1.1,1.5,1.2,1.2,1.7,0.9,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S06,45,"13.08684, 101.11136",5,0,0,NA,NA,NA,60,60,50,60,55,50,60,40,50,55,1.5,1.7,1.2,1.8,1.8,2.8,0.9,1.7,1.3,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B02,75,"13.275664, 101.135273",1,0.32,2.57,2.57,0.26,21.35275801,90,110,60,60,90,90,40,90,95,90,0.7,0.9,1.1,1.3,1.1,1.1,1.3,1.4,1.5,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B02,75,"13.275664, 101.135273",2,0.59,4.9,4.9,0.48,20.53607535,90,90,95,85,90,90,85,80,95,95,2.5,2.7,1.6,2,3,2.1,2,2.4,2.3,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B02,75,"13.275664, 101.135273",3,0.49,4.63,4.63,0.47,21.44081924,80,75,90,85,90,85,70,80,90,80,3,2.2,2.5,2.8,3,3.6,2.5,2.6,2.4,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
